"position";"title";"url";"ytg_score";"ytg_danger";"sme_score";"sme_danger"
66;"Cours en salle de CrossFit Tremblay-en-France - CROSSFIT CENTER";"https://www.crossfit-center.fr/cours-en-salle-de-cross-ctc-be-fit-tremblay-en-france-944/";20;3;6;0
67;"CROSSFIT SBM";"http://crossfitsbm.com/";21;2;28;0
68;"Du CrossFit ®, du CrossFit ® et tout ce qui tourne autour du CrossFit ...";"https://ihatewallballs.com/";14;2;12;0
69;"DrWod - Le spécialiste des marques US de vêtements et ...";"https://drwod.com/";17;3;6;0
70;"CrossFit - Où pratiquer l'activité CrossFit® | MaSalleDeSport";"https://www.masalledesport.com/cours-crossfit-235.php";50;9;32;0
71;"Finale du championnat de France de crossFit (5e place) | Lycée ...";"https://perdonnet.fr/Finale-du-championnat-de-France-de";2;0;6;0
72;"CrossFit Strasbourg - CrossFit Strasbourg";"https://www.crossfitstrasbourg.com/";9;1;6;0
73;"CrossFit Gravity Orvault Nantes | Sport Elite Fitness Orvault Nantes";"http://www.crossfitgravity.com/";13;2;6;0
74;"Équipement de Crossfit Venum et tenues de Fitness - Venum.com ...";"https://euro.venum.com/fr/sports/fitness-cross-training.html";17;5;6;0
75;"Alpes Crossfit Unity | Box Crossfit à Grenoble";"https://www.alpescrossfit-unity.fr/";19;5;6;0
76;"Le crossfit déferle sur le monde du fitness";"https://www.lemonde.fr/sport-et-societe/article/2016/09/21/le-crossfit-deferle-sur-le-monde-du-fitness_5000999_1616888.html";0;0;0;0
77;"Crossfit des Sacres - Salle de crossfit à Reims et à Troyes";"https://crossfit-des-sacres.com/";15;1;12;0
78;"Bien-être. Le raz-de-marée crossfit - Morbihan - LeTelegramme.fr";"https://www.letelegramme.fr/morbihan/bien-etre-le-raz-de-maree-crossfit-13-03-2018-11883902.php";23;4;18;0
79;"CrossFit Bordeaux :: 1ère Box de France :: Préparation ...";"http://crossfitbordeaux.com/index.php%3Fgo%3Dconfidentialite";0;0;0;0
80;"Les Formations CrossFit - Fuck Genetics";"http://www.fuck-genetics.fr/les-formations-crossfit/";10;2;12;0
81;"FITNESS, SALLE DE SPORT, CROSSFIT PAYS DE GEX, SAINT ...";"https://www.crossfittrinitial.com/";4;0;6;0
82;"Compétition Crossfit | France | AmiensThrowdowns";"https://www.amiensthrowdown.com/";4;0;6;0
83;"CrossFit, Bootcamp, comment ça marche - Marie France";"http://www.mariefrance.fr/equilibre/crossfit-bootcamp-quoi-faire-288932.html";44;10;23;0
84;"CAMILLE RIBOUD – OCR/CROSSFIT – Site officiel Inov-8 France";"https://teaminov8france.com/riboud-camille-ocrcrossfit/";0;0;0;0
85;"CHALLENGE F5RCE FRANCE - RSnatch";"https://rsnatch.com/challengef5rcefrance/";3;0;6;0
86;"CrossFit Le Havre — Centre Commercial Docks Vauban";"https://www.crossfit-lehavre.com/";2;0;6;7
87;"CrossFit 6301 - Box de Crossfit à Clermont Ferrand";"http://www.crossfit6301.com/";32;4;39;0
88;"CrossFit Cap Martin";"https://www.crossfit-capmartin.com/";22;5;12;0
89;"Crossfit Antipolis: Index";"http://crossfitantipolis.com/";41;17;6;0
90;"CrossFit Gerland: Accueil";"http://www.crossfit-gerland.com/";11;1;6;0
91;"CrossFit Roissy-en-France à Roissy-en-France - Les-horaires.fr";"https://horaires.lefigaro.fr/95700/Roissy-en-France/CrossFit-Roissy-en-France-58-rue-de-la-belle-etoile,835703.html";6;0;6;0
92;"France 7 : En mode crossfit ! - FFR";"https://www.ffr.fr/Equipes-de-France/Rugby-a-7/France-7/France-7-En-mode-crossfit";18;7;6;0
93;"Qualification au championnat de France de musculation-crossfit ...";"http://sepia.ac-reims.fr/lyc-camille-claudel/-spip-/Qualification-au-championnat-de-France-de-musculation-crossfit.html";2;0;6;0
94;"Arabie Saoudite en France on Twitter: ""Amal Baatia, une ...";"https://twitter.com/KSAembassyFRA/status/901381133316870144";10;0;6;0
95;"Cage à squat crossfit - Tunturi - Importateur Exclusif France";"http://www.tunturi.fr/machines-musculation/722-cage-a-squat-crossfit-wt60--8717842028032.html";5;1;6;0
96;"Le lycée Emmanuel-Chabrier champion de France UNSS de ...";"https://www.lacommere43.fr/yssingeaux-les-sucs/item/6895-le-lycee-emmanuel-chabrier-champion-de-france-unss-de-musculation-crossfit.html";5;0;12;0
97;"R2 THE TRAINING FACTORY – Salle de sport à Paris – Crossfit ...";"http://www.r2training.fr/";20;5;6;0
98;"Rogue Basic - France - T-Shirts - Men's Apparel - Apparel | Rogue ...";"https://www.rogueeurope.eu/rogue-france-shirt%3Flocale%3Dfr";0;0;0;0
99;"Crossfit South West Anglet";"http://crossfitsouthwest-anglet.com/";36;9;28;0
